Former,Current,Type
Chrysothamnus nauseosus subsp. mohavensis,Ericameria nauseosa var. mohavensis
Cicuta bolanderi,Cicuta maculata var. bolanderi
Cirsium amblylepis,Cirsium remotifolium var. odontolepis
Cirsium callilepis var. pseudocarlinoides,Cirsium remotifolium var. odontolepis
Cirsium callilepis,Cirsium remotifolium var. odontolepis
Cirsium mendocinum,Cirsium andrewsii
Cirsium quercetorum var. walkerianum,Cirsium quercetorum
Cirsium quercetorum var. xerolepis,Cirsium quercetorum
Cirsium walkerianum,Cirsium quercetorum
Citrullus amarus,Citrullus lanatus var. citroides,INAT
Clarkia rubicunda subsp. blasdalei,Clarkia rubicunda
Coleogeton pectinatus,Stuckenia pectinata
Coleogeton striatus,Stuckenia striata
Coleosanthus californicus,Brickellia californica
Coleosanthus tener,Brickellia californica
Collinsia parviflora var. collina,Collinsia sparsiflora var. collina
Convolvulus fruticetorum,Calystegia occidentalis subsp. occidentalis
Convolvulus limnophilus,Calystegia sepium subsp. limnophila
Convolvulus malacophyllus subsp. pedicellatus,Calystegia malacophylla subsp. pedicellata
Convolvulus occidentalis var. purpuratus,Calystegia purpurata subsp. purpurata
Convolvulus occidentalis var. saxicola,Calystegia purpurata subsp. saxicola
Convolvulus occidentalis var. solanensis,Calystegia purpurata subsp. purpurata
Convolvulus polymorphus,Calystegia occidentalis subsp. occidentalis
Convolvulus sepium var. repens,Calystegia sepium subsp. limnophila
Convolvulus soldanella,Calystegia soldanella
Convolvulus subacaulis var. dolosus,Calystegia subacaulis subsp. subacaulis
Convolvulus subacaulis,Calystegia subacaulis subsp. subacaulis
Conyza bonariensis,Erigeron bonariensis
Conyza canadensis var. canadensis,Erigeron canadensis
Conyza canadensis,Erigeron canadensis
Conyza coulteri,Laennecia coulteri
Conyza floribunda,Erigeron sumatrensis
Conyza sumatrensis,Erigeron sumatrensis
Corallorhiza striata var. striata,Corallorhiza striata
Corallorhiza striata var. vreelandii,Corallorhiza striata
Cordylanthus ferrisianus,Cordylanthus rigidus subsp. rigidus
Cordylanthus hispidus,Chloropyron molle subsp. hispidum
Cordylanthus littoralis subsp. platycephalus,Cordylanthus rigidus subsp. rigidus
Cordylanthus maritimus subsp. palustris,Chloropyron maritimum subsp. palustre
Cordylanthus mollis subsp. hispidus,Chloropyron molle subsp. hispidum
Cordylanthus mollis subsp. mollis,Chloropyron molle subsp. molle
Cordylanthus palmatus,Chloropyron palmatum
Cordylanthus pilosus subsp. diffusus,Cordylanthus pilosus subsp. pilosus
Cordylanthus rigidus var. compactus,Cordylanthus rigidus subsp. rigidus
Cordylanthus rigidus var. ferrisianus,Cordylanthus rigidus subsp. rigidus
Coreopsis calliopsidea,Leptosyne calliopsidea
Coreopsis hamiltonii,Leptosyne hamiltonii
Coreopsis stillmanii,Leptosyne stillmanii
Cornus ×californica,Cornus sericea subsp. sericea
Cornus californica var. nevadensis,Cornus sericea subsp. sericea
Cornus californica,Cornus sericea subsp. sericea
Cornus occidentalis,Cornus sericea subsp. occidentalis
Cornus stolonifera,Cornus sericea subsp. sericea
Coronopus didymus,Lepidium didymum
Coronopus squamatus,Lepidium coronopus
Corylus californica,Corylus cornuta subsp. californica
Corylus cornuta var. californica,Corylus cornuta subsp. californica
Corylus rostrata var. tracyi,Corylus cornuta subsp. californica
Cotoneaster coriaceus,Cotoneaster lacteus,INAT
Cotyledon caespitosa var. paniculata,Dudleya cymosa subsp. paniculata
Crassula connata var. connata,Crassula connata
Crassula connata var. erectoides,Crassula connata
Crassula connata var. eremica,Crassula connata
Crassula connata var. subsimplex,Crassula connata
Crassula erecta,Crassula connata
Crassula saginoides,Crassula aquatica
Crepis geisseana,Malacothrix clevelandii
Cressa truxillensis var. vallicola,Cressa truxillensis
Croton californicus var. mohavensis,Croton californicus
Croton californicus var. tenuis,Croton californicus
Crypsis niliaca,Crypsis vaginiflora
Cryptantha intermedia var. rigida,Cryptantha juniperensis
Cryptantha nevadensis var. rigida,Cryptantha juniperensis
Cryptantha torreyana,Cryptantha torreyana var. pumila,INAT
Cupressus macrocarpa subsp. lobosensis,Hesperocyparis macrocarpa
Cupressus macrocarpa,Hesperocyparis macrocarpa,INAT
Cupressus sargentii var. duttonii,Hesperocyparis sargentii
Cupressus sargentii,Hesperocyparis sargentii,INAT
Cuscuta californica var. breviflora,Cuscuta occidentalis
Cuscuta formosana,Cuscuta japonica var. formosana
Cuscuta hispidula,Cuscuta indecora var. indecora
Cuscuta indecora var. bifida,Cuscuta indecora var. indecora
Cuscuta indecora var. neuropetala,Cuscuta indecora var. indecora
Cuscuta neuropetala,Cuscuta indecora var. indecora
Cuscuta pentagona var. calycina,Cuscuta campestris
Cuscuta salina var. major,Cuscuta pacifica var. pacifica
Cuscuta subinclusa var. abbreviata,Cuscuta pacifica var. pacifica
Cynoglossum grande,Adelinia grandis
Cyperus alternifolius subsp. flabelliformis,Cyperus involucratus,INAT
Cyperus diandrus var. castaneus,Cyperus niger
Cyperus ferax,Cyperus odoratus
Cyperus hansenii,Cyperus strigosus
Cyperus niger var. capitatus,Cyperus niger
Cyperus niger var. castaneus,Cyperus niger
Cytisus monspessulanus,Genista monspessulana
Cytisus scoparius var. andreanus,Cytisus scoparius
Cytisus scoparius var. scoparius,Cytisus scoparius
Danthonia californica var. americana,Danthonia californica
Danthonia californica var. californica,Danthonia californica
Danthonia racemosa,Rytidosperma racemosum
Datura meteloides,Datura wrightii
Datura stramonium var. tatula,Datura stramonium
Deinandra corymbosa subsp. macrocephala,Deinandra corymbosa
Delphinium ajacis,Consolida ajacis,INAT
Delphinium californicum var. interius,Delphinium californicum subsp. interius
Delphinium decorum var. patens,Delphinium patens subsp. patens
Delphinium emiliae,Delphinium variegatum subsp. variegatum
Delphinium gypsophilum subsp. gypsophilum,Delphinium gypsophilum
Delphinium gypsophilum subsp. parviflorum,Delphinium gypsophilum
