taxon_name,status
Lonicera hispidula
Lonicera interrupta
Lonicera involucrata var. ledebourii
Lonicera japonica
Lonicera subspicata var. denudata
Lotus corniculatus
Ludwigia hexapetala
Ludwigia peploides subsp. montevidensis
Ludwigia peploides subsp. peploides
Lunaria annua
Lupinus affinis
Lupinus albifrons var. albifrons
Lupinus albifrons var. collinus
Lupinus arboreus
Lupinus bicolor
Lupinus concinnus
Lupinus formosus var. formosus
Lupinus latifolius var. latifolius
Lupinus microcarpus var. densiflorus
Lupinus microcarpus var. microcarpus
Lupinus nanus
Lupinus pachylobus
Lupinus succulentus
Luzula comosa var. comosa
Luzula macrantha
Luzula subsessilis
Lychnis coronaria
Lycopus americanus
Lycopus asper
Lysimachia arvensis
Lysimachia latifolia
Lysimachia maritima
Lysimachia minima
Lysimachia monelli
Lythrum californicum
Lythrum hyssopifolia
Lythrum salicaria
Lythrum tribracteatum
Madia elegans
Madia exigua
Madia gracilis
Madia sativa
Maianthemum racemosum
Maianthemum stellatum
Malacothamnus arcuatus var. elmeri
Malacothamnus fremontii var. fremontii
Malacothamnus hallii
Malacothrix clevelandii
Malacothrix coulteri
Malacothrix floccifera
Malva assurgentiflora,NC
Malva multiflora
Malva nicaeensis
Malva parviflora
Malvella leprosa
Marah fabacea
Marah oregana
Marrubium vulgare
Marsilea vestita subsp. vestita
Matricaria discoidea
Maytenus boaria
Meconella oregana
Medicago arabica
Medicago lupulina
Medicago polymorpha
Medicago sativa
Melica bulbosa
Melica californica
Melica imperfecta
Melica subulata
Melica torreyana
Melilotus albus
Melilotus indicus
Melissa officinalis
Mentha ×gracilis
Mentha ×piperita
Mentha aquatica
Mentha arvensis
Mentha canadensis
Mentha pulegium
Mentha spicata
Mentha suaveolens
Mentzelia affinis
Mentzelia dispersa
Mentzelia lindleyi
Mentzelia micrantha
Mercurialis annua
Mesembryanthemum nodiflorum
Micranthes californica
Micropus californicus var. californicus
Micropus californicus var. subvestitus
Microseris acuminata
Microseris campestris
Microseris douglasii subsp. douglasii
Microseris douglasii subsp. tenella
Microseris elegans
Microseris sylvatica
Microsteris gracilis
Mimetanthe pilosa
Mirabilis laevis var. crassifolia
Modiola caroliniana
Moehringia macrophylla
Mollugo verticillata
Monardella douglasii
Monardella villosa subsp. villosa
Monolepis nuttalliana
Monolopia gracilens
Monolopia lanceolata
Monolopia major
Montia fontana
Morella californica
Muehlenbeckia complexa
Muilla maritima
Myoporum laetum
Myosotis discolor
Myosotis latifolia
Myosotis laxa
Myosurus minimus
Myosurus sessilis
Myriophyllum aquaticum
Myriophyllum sibiricum
Myriophyllum spicatum
Myriophyllum verticillatum
Myriopteris covillei
Myriopteris gracillima
Myriopteris intertexta
Najas guadalupensis subsp. guadalupensis
Najas marina
Narcissus pseudonarcissus
Narcissus tazetta
Nasturtium officinale
Navarretia atractyloides
Navarretia cotulifolia
Navarretia gowenii
Navarretia hamata subsp. parviloba
Navarretia heterandra
Navarretia intertexta
Navarretia mellita
Navarretia nigelliformis subsp. radians
Navarretia prostrata
Navarretia pubescens
Navarretia squarrosa
Navarretia viscidula
Nemacladus capillaris
Nemophila heterophylla
Nemophila menziesii var. menziesii
Nemophila parviflora var. parviflora
Nemophila pedunculata
Nicotiana attenuata
Nicotiana acuminata var. multiflora
Nicotiana glauca
Nicotiana quadrivalvis
Nitrophila occidentalis
Nothoscordum gracile
Nuttallanthus texanus
Oemleria cerasiformis
Oenanthe sarmentosa
Oenothera biennis
Oenothera deltoides subsp. cognata
Oenothera deltoides subsp. howellii
Oenothera elata subsp. hookeri
Oenothera glazioviana
Oenothera laciniata
Oenothera sinuosa
Oenothera xenogaura
Olea europaea
Osmorhiza berteroi
Osmorhiza brachypoda
Oxalis corniculata
Oxalis incarnata
Oxalis oregana
Oxalis pes-caprae
Oxalis pilosa
Packera breweri
Panicum acuminatum
Panicum capillare
Papaver californicum
Papaver heterophyllum
Parapholis incurva
Parietaria hespera var. californica
Parietaria judaica
Paspalum dilatatum
Paspalum distichum
Passiflora tarminiana
Pectocarya penicillata
Pedicularis densiflora
Pediomelum californicum
Pelargonium grossularioides
Pelargonium inquinans
Pellaea andromedifolia
Pellaea mucronata var. mucronata
Pennisetum clandestinum
Pennisetum setaceum
Pennisetum villosum
Penstemon centranthifolius
Penstemon heterophyllus var. heterophyllus
Penstemon heterophyllus var. purdyi
Pentachaeta alsinoides
Pentachaeta exilis subsp. exilis
Pentagramma triangularis
Perideridia californica
Perideridia kelloggii
Perideridia oregana
Persicaria amphibia
Persicaria hydropiper
Persicaria hydropiperoides
Persicaria lapathifolia
Persicaria maculosa
Persicaria punctata
Petasites frigidus var. palmatus
Petrorhagia dubia
Petunia parviflora
Phacelia breweri
Phacelia californica
Phacelia ciliata
Phacelia distans
Phacelia divaricata
Phacelia douglasii
Phacelia imbricata var. imbricata
Phacelia malvifolia var. malvifolia
Phacelia nemoralis var. nemoralis
Phacelia phacelioides
Phacelia ramosissima
Phacelia rattanii
Phacelia suaveolens
Phacelia tanacetifolia
Phalaris aquatica
Phalaris arundinacea
Phalaris brachystachys
Phalaris lemmonii
Phalaris minor
Phalaris paradoxa
Phelipanche ramosa
Phoenix canariensis
Pholistoma auritum var. auritum
Pholistoma membranaceum
