taxon,common name,status,jepson id,calrecnum,inat id,RPI ID,CRPR,CESA
Conium maculatum,poison hemlock,X,20136,2317,52998
Consolida ajacis,,X,20161,9821,76430
Convolvulus arvensis,bindweed,X,20203,2321,53021
Convolvulus simulans,,N,20208,2322,76433,1636,4.2
Corallorhiza maculata var. maculata,spotted coralroot,N,75479,11545,80614
Corallorhiza striata,striped coralroot,N,20264,2331,50708
Cordylanthus nidularius,Mt. Diablo bird's-beak,N,20318,2347,76440,178,1B.1,CR
Cordylanthus pilosus subsp. pilosus,,N,49973,2352,57275
Cordylanthus rigidus subsp. rigidus,,N,49981,2359,59014
Cordyline australis,cabbage tree,X,80712,9076,50191
Corethrogyne filaginifolia,,N,2375,9825,58014
Cornus glabrata,brown dogwood,N,20396,2386,57013
Cornus sericea subsp. occidentalis,western dogwood,N,49997,2389,53366
Cornus sericea subsp. sericea,American dogwood,N,49998,2390,53367
Cortaderia jubata,pampas grass,X,20427,2394,52714
Cortaderia selloana,pampas grass,X,20429,2395,64240
Corylus cornuta subsp. californica,California hazelnut,N,80489,10818,53368
Cotoneaster franchetii,,X,20511,2401,1319212
Cotoneaster lacteus,,X,77520,8714,411074
Cotoneaster pannosus,,X,20517,2402,53375
Cotula australis,,X,2391,2403,53025
Cotula coronopifolia,brass-buttons,X,2392,2404,58812
Crassula aquatica,water pygmy-weed,N,20581,2406,58135
Crassula connata,pygmy-weed,N,20582,2407,57016
Crassula solieri,pygmy-weed,N,20589,2409,76466
Crassula tillaea,,X,20590,2410,58883
Crataegus monogyna,hawthorn,X,20843,8429,51147
Crepis bursifolia,,X,2399,2416,76473
Crepis capillaris,,X,2400,2417,54050
Crepis monticola,,N,2405,2420,76476
Crepis vesicaria subsp. taraxacifolia,,X,5983,2428,56870
Cressa truxillensis,alkali weed,N,21017,2429,58133
Crocanthemum scoparium var. vulgare,peak rush-rose,N,95272,13180,1045000
Crocidium multicaule,spring gold,N,2425,2430,57524
Crocosmia ×crocosmiiflora,montbretia,X,77150,2431,181465
Croton californicus,,N,21120,2434,76484
Croton setiger,turkey mullein,N,21159,13184,154156
Crypsis schoenoides,swamp grass,X,21182,2439,773038
Crypsis vaginiflora,,X,21183,2440,773022
Cryptantha clevelandii var. florosa,,N,57120,11565,1045003
Cryptantha flaccida,,N,21228,2460,56989
Cryptantha juniperensis,rigid cryptantha,N,103476,14557,769572
Cryptantha micromeres,,N,21263,2476,770232
Cryptantha microstachys,,N,21264,2477,57696
Cryptantha muricata var. muricata,,N,57145,11573,80632
Cryptantha nemaclada,,N,21271,2481,57705
Cryptantha torreyana var. pumila,dwarf cryptantha,N,57161,11578,57697
Cucurbita foetidissima,calabazilla,N,21361,2510,58138
Cuscuta californica var. californica,,N,57184,2531,57026
Cuscuta campestris,field dodder,N,21462,10823,76545
Cuscuta indecora var. indecora,large-seeded dodder,N,57197,2537,80642
Cuscuta japonica var. formosana,Japanese dodder,X,82049,10549,80643
Cuscuta occidentalis,,N,21423,10825,76552
Cuscuta pacifica var. pacifica,,N,89286,11581,80645
Cuscuta salina,,N,21469,2540,64204
Cuscuta subinclusa,canyon dodder,N,21426,2544,76556
Cyclospermum leptophyllum,marsh-parsley,X,88944,9082,76563
